semester,federal_state,study_code,study_subject,total_males,total_females,total_all
WT 2021/22,Berlin,SF143,Ophthalmic Optics,6,25,31
WT 2021/22,Berlin,SF259,Foreign Affairs Administration,36,34,70
WT 2021/22,Berlin,SF017,Civil Engineering/Structural Engineering,349,149,498
WT 2021/22,Berlin,SF021,Business Administration,1141,1116,2257
WT 2021/22,Berlin,SF205,Sculpting/Statuary Art,3,8,11
WT 2021/22,Berlin,SF025,Biochemistry,12,34,46
WT 2021/22,Berlin,SF221,Bioinformatics,35,37,72
WT 2021/22,Berlin,SF026,Biology,112,250,362
WT 2021/22,Berlin,SF282,Biotechnology,6,15,21
WT 2021/22,Berlin,SF032,Chemistry,171,190,361
WT 2021/22,Berlin,SF033,Chemical Engineering/Chemical Process Technology,47,68,115
WT 2021/22,Berlin,SF200,Computer and Communication Technology,32,9,41
WT 2021/22,Berlin,SF035,Performing Arts/Stagecraft/Directing,5,11,16
WT 2021/22,Berlin,SF271,German as a Foreign or Second Language,2,10,12
WT 2021/22,Berlin,SF192,Conducting,1,1,2
WT 2021/22,Berlin,SF231,Printing and Reproduction Technology,10,19,29
WT 2021/22,Berlin,SF048,Electrical Engineering/Electronics,294,78,372
WT 2021/22,Berlin,SF211,Energy Process Engineering,57,18,75
WT 2021/22,Berlin,SF052,Educational Science (Pedagogy),21,130,151
WT 2021/22,Berlin,SF173,Ethnology,16,37,53
WT 2021/22,Berlin,SF024,European Ethnology and Cultural Studies,28,110,138
WT 2021/22,Berlin,SF167,European Economic Studies,2,15,17
WT 2021/22,Berlin,SF544,"Protestant Religious Pedagogy, Church Educat. Work",3,6,9
WT 2021/22,Berlin,SF053,"Protestant Theology, Protes. Religious Education",5,17,22
WT 2021/22,Berlin,SF235,Automotive Technology,51,2,53
WT 2021/22,Berlin,SF054,Film and Television Studies,46,63,109
WT 2021/22,Berlin,SF056,Finno-Ugrian Studies,2,2,4
WT 2021/22,Berlin,SF059,French,8,34,42
WT 2021/22,Berlin,SF060,Horticulture,70,65,135
WT 2021/22,Berlin,SF050,Geography,90,95,185
WT 2021/22,Berlin,SF065,Geology/Palaeontology,1,1,2
WT 2021/22,Berlin,SF039,Geosciences general,37,35,72
WT 2021/22,Berlin,SF067,German Studies/German,66,235,301
WT 2021/22,Berlin,SF230,Singing,4,12,16
WT 2021/22,Berlin,SF068,History,201,183,384
WT 2021/22,Berlin,SF195,Health Education,28,80,108
WT 2021/22,Berlin,SF215,Health Technology,12,16,28
WT 2021/22,Berlin,SF232,Health Science/Health Management,190,269,459
WT 2021/22,Berlin,SF069,Graphic Design/Communication Design,191,341,532
WT 2021/22,Berlin,SF070,Greek,2,4,6
WT 2021/22,Berlin,SF115,Primary School Education/Primary Level Education,75,316,391
WT 2021/22,Berlin,SF203,Industrial Design/Product Design,43,38,81
WT 2021/22,Berlin,SF079,Computer Science,677,156,833
WT 2021/22,Berlin,SF022,Inf./Library Scien. (not at univ. of app.adm.sci.),6,40,46
WT 2021/22,Berlin,SF123,Computational Engineer./Technical Computer Science,27,3,30
WT 2021/22,Berlin,SF242,Interior Architecture,8,73,81
WT 2021/22,Berlin,SF261,Internal Administration,27,68,95
WT 2021/22,Berlin,SF080,Instrumental Music,33,26,59
WT 2021/22,Berlin,SF072,Interdisc. Studies (specialising in Engineering),152,32,184
WT 2021/22,Berlin,SF049,Interdisc. Studies (special. in Natural Sciences),38,34,72
WT 2021/22,Berlin,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",48,57,105
WT 2021/22,Berlin,SF004,Interdisc. Studies (spec. in Humanities),99,226,325
WT 2021/22,Berlin,SF040,"Interdisc. Studies (special. in Art, Art Theory)",28,45,73
WT 2021/22,Berlin,SF182,International Business Studies/Management,1070,1077,2147
WT 2021/22,Berlin,SF081,Iranian Studies,8,7,15
WT 2021/22,Berlin,SF292,Islamic Studies/Islamic theology,8,15,23
WT 2021/22,Berlin,SF083,Islamic Studies,6,17,23
WT 2021/22,Berlin,SF084,Italian,3,13,16
WT 2021/22,Berlin,SF085,Japanese Studies,18,30,48
WT 2021/22,Berlin,SF164,Jazz and Popular Music,20,10,30
WT 2021/22,Berlin,SF073,Judaic Studies/Hebrew,3,9,12
WT 2021/22,Berlin,SF086,"Catholic Theology, Catholic Religious Education",2,3,5
WT 2021/22,Berlin,SF005,Classical Philology,3,4,7
WT 2021/22,Berlin,SF222,"Communication Technology, Information Engineering",172,23,195
WT 2021/22,Berlin,SF303,Communication Science/Journalism,70,258,328
WT 2021/22,Berlin,SF191,Composition,5,8,13
WT 2021/22,Berlin,SF091,Arts Education,20,74,94
WT 2021/22,Berlin,SF092,"Art History, Art Theory",24,121,145
WT 2021/22,Berlin,SF093,Land Management Engineering/Landscape Design,15,22,37
WT 2021/22,Berlin,SF095,Latin,7,8,15
WT 2021/22,Berlin,SF038,Latin America Studies,10,15,25
WT 2021/22,Berlin,SF096,Food Chemistry,6,12,18
WT 2021/22,Berlin,SF097,Food Technology,20,18,38
WT 2021/22,Berlin,SF204,Painting,2,8,10
WT 2021/22,Berlin,SF104,Mechanical Engineering,428,106,534
WT 2021/22,Berlin,SF105,Mathematics,221,166,387
WT 2021/22,Berlin,SF380,Mechatronics,118,13,131
WT 2021/22,Berlin,SF121,Media Informatics,226,126,352
WT 2021/22,Berlin,SF305,Media Technology,32,13,45
WT 2021/22,Berlin,SF304,Media Economics/Media Management,38,79,117
WT 2021/22,Berlin,SF302,Media Science,8,18,26
WT 2021/22,Berlin,SF107,Medicine (General Medicine),166,289,455
WT 2021/22,Berlin,SF247,Medical Informatics,3,1,4
WT 2021/22,Berlin,SF108,Metals Technology,3,1,4
WT 2021/22,Berlin,SF110,Meteorology,27,37,64
WT 2021/22,Berlin,SF286,Microsystems Technology,12,5,17
WT 2021/22,Berlin,SF113,Music Education,27,31,58
WT 2021/22,Berlin,SF114,Musicology/History of Music,30,41,71
WT 2021/22,Berlin,SF287,New Media,3,14,17
WT 2021/22,Berlin,SF043,Modern Greek,2,12,14
WT 2021/22,Berlin,SF233,Non-medical Healthcare Professions/Therapies,32,140,172
WT 2021/22,Berlin,SF119,Dutch,4,5,9
WT 2021/22,Berlin,SF120,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",18,36,54
WT 2021/22,Berlin,SF165,Orchestral Music,20,21,41
WT 2021/22,Berlin,SF122,"Oriental Studies, Ancient Oriental Studies",33,47,80
WT 2021/22,Berlin,SF044,Eastern and South Eastern Europe Studies,6,13,19
WT 2021/22,Berlin,SF365,Early Childhood Education,14,65,79
WT 2021/22,Berlin,SF234,Nursing Science/Nursing Management,35,109,144
WT 2021/22,Berlin,SF126,Pharmacy,23,61,84
WT 2021/22,Berlin,SF127,Philosophy,101,100,201
WT 2021/22,Berlin,SF128,Physics,557,299,856
WT 2021/22,Berlin,SF224,Engineering Physics/Mechanical Process Engineering,36,8,44
WT 2021/22,Berlin,SF129,Political Science,248,374,622
WT 2021/22,Berlin,SF263,Police/Protection of the Constitution,224,174,398
WT 2021/22,Berlin,SF132,Psychology,226,645,871
WT 2021/22,Berlin,SF134,Spatial Planning,46,71,117
WT 2021/22,Berlin,SF256,Administration of Justice,21,59,80
WT 2021/22,Berlin,SF135,Law,315,635,950
WT 2021/22,Berlin,SF310,Renewable Energy,30,9,39
WT 2021/22,Berlin,SF101,Restoration Studies,6,10,16
WT 2021/22,Berlin,SF137,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",14,66,80
WT 2021/22,Berlin,SF139,Russian,4,13,17
WT 2021/22,Berlin,SF254,General Studies (including School Garden),19,115,134
WT 2021/22,Berlin,SF102,Drama Studies,11,39,50
WT 2021/22,Berlin,SF145,Sinology/Korean Studies,24,75,99
WT 2021/22,Berlin,SF146,Slavic Studies (Slavic Philology),3,8,11
WT 2021/22,Berlin,SF190,Special Needs Education,31,169,200
WT 2021/22,Berlin,SF290,Other subjects,59,102,161
WT 2021/22,Berlin,SF036,Other regional studies,5,23,28
WT 2021/22,Berlin,SF208,Social Work,157,539,696
WT 2021/22,Berlin,SF147,Social Studies,3,5,8
WT 2021/22,Berlin,SF245,Social Pedagogy,6,15,21
WT 2021/22,Berlin,SF264,Social Security Administration,47,129,176
WT 2021/22,Berlin,SF253,Applied Social Science,13,26,39
WT 2021/22,Berlin,SF148,Social Sciences,83,150,233
WT 2021/22,Berlin,SF149,Sociology,45,76,121
WT 2021/22,Berlin,SF150,Spanish,12,31,43
WT 2021/22,Berlin,SF166,Sports Management/Sports Economics,50,9,59
WT 2021/22,Berlin,SF098,Sports Education/Sports Psychology,69,34,103
WT 2021/22,Berlin,SF029,Sports Science,6,5,11
WT 2021/22,Berlin,SF312,Statistics,12,9,21
WT 2021/22,Berlin,SF106,Dance Education,10,21,31
WT 2021/22,Berlin,SF118,Technomathematics,4,5,9
WT 2021/22,Berlin,SF116,Textile Design,42,123,165
WT 2021/22,Berlin,SF225,Textile and Clothing Technology/Industry,10,29,39
WT 2021/22,Berlin,SF155,Theatre Studies,15,65,80
WT 2021/22,Berlin,SF156,Veterinary Medicine,25,178,203
WT 2021/22,Berlin,SF371,Animal Production,1,1,2
WT 2021/22,Berlin,SF194,Sound Engineering,38,8,46
WT 2021/22,Berlin,SF274,Tourism Management,15,39,54
WT 2021/22,Berlin,SF158,Turkish Studies,2,6,8
WT 2021/22,Berlin,SF458,Environmental Protection,19,38,57
WT 2021/22,Berlin,SF457,Environmental Technology (including Recycling),32,32,64
WT 2021/22,Berlin,SF226,Process Engineering,79,134,213
WT 2021/22,Berlin,SF089,Transport Engineering,87,29,116
WT 2021/22,Berlin,SF171,Surveying (Geodesy),61,27,88
WT 2021/22,Berlin,SF213,Supply Technology,61,16,77
WT 2021/22,Berlin,SF172,Administrative Science/Public Administration,19,49,68
WT 2021/22,Berlin,SF175,Economics,263,166,429
WT 2021/22,Berlin,SF177,Materials Technology,13,2,15
WT 2021/22,Berlin,SF277,Business Informatics,462,193,655
WT 2021/22,Berlin,SF370,Business Engineering spec. in Engineering Sciences,621,205,826
WT 2021/22,Berlin,SF179,Business Engineering specialising in Economics,55,9,64
WT 2021/22,Berlin,SF276,Business Mathematics,48,34,82
WT 2021/22,Berlin,SF181,Business and Economics Education,12,14,26
WT 2021/22,Berlin,SF042,Business Law,29,74,103
WT 2021/22,Berlin,SF184,Business and Economics,105,193,298
WT 2021/22,Berlin,SF185,Dentistry,11,35,46
WT 2021/22,Brandenburg,SF003,Agricultural Science/Agriculture,10,15,25
WT 2021/22,Brandenburg,SF152,General Linguistics/Indo-European Studies,18,90,108
WT 2021/22,Brandenburg,SF008,English Studies,39,75,114
WT 2021/22,Brandenburg,SF011,Work Studies/Business Studies,8,3,11
WT 2021/22,Brandenburg,SF013,Architecture,81,102,183
WT 2021/22,Brandenburg,SF037,Archive and Documentation Science,8,9,17
WT 2021/22,Brandenburg,SF255,Archive Studies,14,23,37
WT 2021/22,Brandenburg,SF014,Astrophysics and Astronomy,5,4,9
WT 2021/22,Brandenburg,SF143,Ophthalmic Optics,3,5,8
WT 2021/22,Brandenburg,SF017,Civil Engineering/Structural Engineering,91,31,122
WT 2021/22,Brandenburg,SF021,Business Administration,248,243,491
WT 2021/22,Brandenburg,SF025,Biochemistry,2,7,9
WT 2021/22,Brandenburg,SF026,Biology,54,113,167
WT 2021/22,Brandenburg,SF282,Biotechnology,23,27,50
WT 2021/22,Brandenburg,SF032,Chemistry,33,32,65
WT 2021/22,Brandenburg,SF160,Computer Linguistics,11,10,21
WT 2021/22,Brandenburg,SF200,Computer and Communication Technology,21,1,22
WT 2021/22,Brandenburg,SF048,Electrical Engineering/Electronics,63,9,72
WT 2021/22,Brandenburg,SF320,Nutritional Science,15,36,51
WT 2021/22,Brandenburg,SF052,Educational Science (Pedagogy),8,24,32
WT 2021/22,Brandenburg,SF024,European Ethnology and Cultural Studies,1,4,5
WT 2021/22,Brandenburg,SF054,Film and Television Studies,27,16,43
WT 2021/22,Brandenburg,SF058,"Forest Science, Forestry",57,32,89
WT 2021/22,Brandenburg,SF059,French,2,3,5
WT 2021/22,Brandenburg,SF050,Geography,5,5,10
WT 2021/22,Brandenburg,SF385,Geoecology,26,23,49
WT 2021/22,Brandenburg,SF039,Geosciences general,52,27,79
WT 2021/22,Brandenburg,SF067,German Studies/German,35,136,171
WT 2021/22,Brandenburg,SF068,History,76,68,144
WT 2021/22,Brandenburg,SF069,Graphic Design/Communication Design,35,43,78
WT 2021/22,Brandenburg,SF115,Primary School Education/Primary Level Education,10,48,58
WT 2021/22,Brandenburg,SF082,Wood and Fibre Technology,27,9,36
WT 2021/22,Brandenburg,SF203,Industrial Design/Product Design,8,9,17
WT 2021/22,Brandenburg,SF079,Computer Science,352,86,438
WT 2021/22,Brandenburg,SF022,Inf./Library Scien. (not at univ. of app.adm.sci.),5,31,36
WT 2021/22,Brandenburg,SF123,Computational Engineer./Technical Computer Science,13,4,17
WT 2021/22,Brandenburg,SF072,Interdisc. Studies (specialising in Engineering),35,2,37
WT 2021/22,Brandenburg,SF049,Interdisc. Studies (special. in Natural Sciences),7,6,13
WT 2021/22,Brandenburg,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",29,27,56
WT 2021/22,Brandenburg,SF004,Interdisc. Studies (spec. in Humanities),70,183,253
WT 2021/22,Brandenburg,SF040,"Interdisc. Studies (special. in Art, Art Theory)",10,15,25
WT 2021/22,Brandenburg,SF182,International Business Studies/Management,108,129,237
WT 2021/22,Brandenburg,SF073,Judaic Studies/Hebrew,7,9,16
WT 2021/22,Brandenburg,SF091,Arts Education,1,14,15
WT 2021/22,Brandenburg,SF093,Land Management Engineering/Landscape Design,10,25,35
WT 2021/22,Brandenburg,SF090,Area of study: Humanities,3,3,6
WT 2021/22,Brandenburg,SF057,Aeronautical and Aerospace Engineering,34,14,48
WT 2021/22,Brandenburg,SF104,Mechanical Engineering,70,5,75
WT 2021/22,Brandenburg,SF105,Mathematics,84,68,152
WT 2021/22,Brandenburg,SF380,Mechatronics,15,3,18
WT 2021/22,Brandenburg,SF121,Media Informatics,10,5,15
WT 2021/22,Brandenburg,SF304,Media Economics/Media Management,11,16,27
WT 2021/22,Brandenburg,SF302,Media Science,6,30,36
WT 2021/22,Brandenburg,SF107,Medicine (General Medicine),51,92,143
WT 2021/22,Brandenburg,SF247,Medical Informatics,8,12,20
WT 2021/22,Brandenburg,SF113,Music Education,8,17,25
WT 2021/22,Brandenburg,SF233,Non-medical Healthcare Professions/Therapies,12,45,57
WT 2021/22,Brandenburg,SF019,MINT orientation studies,23,17,40
WT 2021/22,Brandenburg,SF234,Nursing Science/Nursing Management,2,8,10
WT 2021/22,Brandenburg,SF127,Philosophy,19,16,35
WT 2021/22,Brandenburg,SF128,Physics,57,34,91
WT 2021/22,Brandenburg,SF224,Engineering Physics/Mechanical Process Engineering,7,2,9
WT 2021/22,Brandenburg,SF129,Political Science,92,61,153
WT 2021/22,Brandenburg,SF263,Police/Protection of the Constitution,67,35,102
WT 2021/22,Brandenburg,SF132,Psychology,27,110,137
WT 2021/22,Brandenburg,SF134,Spatial Planning,55,114,169
WT 2021/22,Brandenburg,SF135,Law,199,351,550
WT 2021/22,Brandenburg,SF136,Religious Studies,1,4,5
WT 2021/22,Brandenburg,SF101,Restoration Studies,1,17,18
WT 2021/22,Brandenburg,SF137,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",1,2,3
WT 2021/22,Brandenburg,SF139,Russian,1,6,7
WT 2021/22,Brandenburg,SF102,Drama Studies,1,3,4
WT 2021/22,Brandenburg,SF146,Slavic Studies (Slavic Philology),7,17,24
WT 2021/22,Brandenburg,SF208,Social Work,34,107,141
WT 2021/22,Brandenburg,SF245,Social Pedagogy,13,24,37
WT 2021/22,Brandenburg,SF253,Applied Social Science,3,56,59
WT 2021/22,Brandenburg,SF149,Sociology,9,43,52
WT 2021/22,Brandenburg,SF150,Spanish,1,1,2
WT 2021/22,Brandenburg,SF166,Sports Management/Sports Economics,30,17,47
WT 2021/22,Brandenburg,SF029,Sports Science,77,64,141
WT 2021/22,Brandenburg,SF458,Environmental Protection,89,81,170
WT 2021/22,Brandenburg,SF172,Administrative Science/Public Administration,61,89,150
WT 2021/22,Brandenburg,SF175,Economics,32,13,45
WT 2021/22,Brandenburg,SF094,Hydraulic Engineering,11,5,16
WT 2021/22,Brandenburg,SF277,Business Informatics,123,34,157
WT 2021/22,Brandenburg,SF370,Business Engineering spec. in Engineering Sciences,97,17,114
WT 2021/22,Brandenburg,SF184,Business and Economics,46,31,77
WT 2021/22,Brandenburg,SF269,Customs and Tax Administration,204,142,346
WT 2021/22,Bremen,SF152,General Linguistics/Indo-European Studies,5,7,12
WT 2021/22,Bremen,SF140,Applied Systems Science,28,3,31
WT 2021/22,Bremen,SF008,English Studies,33,65,98
WT 2021/22,Bremen,SF013,Architecture,30,56,86
WT 2021/22,Bremen,SF017,Civil Engineering/Structural Engineering,65,21,86
WT 2021/22,Bremen,SF018,Occupation-specific Foreign Language Training,17,25,42
WT 2021/22,Bremen,SF270,"Vocational, Business and Economics Education",5,2,7
WT 2021/22,Bremen,SF021,Business Administration,350,242,592
WT 2021/22,Bremen,SF205,Sculpting/Statuary Art,4,8,12
WT 2021/22,Bremen,SF025,Biochemistry,30,38,68
WT 2021/22,Bremen,SF026,Biology,44,87,131
WT 2021/22,Bremen,SF300,Biomedicine,6,10,16
WT 2021/22,Bremen,SF282,Biotechnology,42,46,88
WT 2021/22,Bremen,SF032,Chemistry,17,13,30
WT 2021/22,Bremen,SF316,Electrical Power Engineering,27,6,33
WT 2021/22,Bremen,SF048,Electrical Engineering/Electronics,135,22,157
WT 2021/22,Bremen,SF052,Educational Science (Pedagogy),8,32,40
WT 2021/22,Bremen,SF202,Manufacturing Technology/Production Engineering,29,5,34
WT 2021/22,Bremen,SF050,Geography,12,15,27
WT 2021/22,Bremen,SF385,Geoecology,1,1,2
WT 2021/22,Bremen,SF039,Geosciences general,30,27,57
WT 2021/22,Bremen,SF067,German Studies/German,22,71,93
WT 2021/22,Bremen,SF068,History,23,14,37
WT 2021/22,Bremen,SF215,Health Technology,28,18,46
WT 2021/22,Bremen,SF232,Health Science/Health Management,38,148,186
WT 2021/22,Bremen,SF069,Graphic Design/Communication Design,7,39,46
WT 2021/22,Bremen,SF079,Computer Science,195,65,260
WT 2021/22,Bremen,SF123,Computational Engineer./Technical Computer Science,63,4,67
WT 2021/22,Bremen,SF080,Instrumental Music,13,18,31
WT 2021/22,Bremen,SF049,Interdisc. Studies (special. in Natural Sciences),3,7,10
WT 2021/22,Bremen,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",43,51,94
WT 2021/22,Bremen,SF004,Interdisc. Studies (spec. in Humanities),7,47,54
WT 2021/22,Bremen,SF182,International Business Studies/Management,65,70,135
WT 2021/22,Bremen,SF303,Communication Science/Journalism,15,61,76
WT 2021/22,Bremen,SF092,"Art History, Art Theory",3,27,30
WT 2021/22,Bremen,SF097,Food Technology,10,18,28
WT 2021/22,Bremen,SF057,Aeronautical and Aerospace Engineering,57,13,70
WT 2021/22,Bremen,SF104,Mechanical Engineering,81,10,91
WT 2021/22,Bremen,SF105,Mathematics,38,43,81
WT 2021/22,Bremen,SF380,Mechatronics,49,5,54
WT 2021/22,Bremen,SF121,Media Informatics,69,52,121
WT 2021/22,Bremen,SF111,Mineralogy,5,2,7
WT 2021/22,Bremen,SF113,Music Education,2,4,6
WT 2021/22,Bremen,SF114,Musicology/History of Music,2,5,7
WT 2021/22,Bremen,SF223,Nautical Science/Maritime Studies,1,2,3
WT 2021/22,Bremen,SF287,New Media,20,27,47
WT 2021/22,Bremen,SF234,Nursing Science/Nursing Management,26,67,93
WT 2021/22,Bremen,SF127,Philosophy,6,22,28
WT 2021/22,Bremen,SF128,Physics,33,19,52
WT 2021/22,Bremen,SF224,Engineering Physics/Mechanical Process Engineering,8,4,12
WT 2021/22,Bremen,SF129,Political Science,89,94,183
WT 2021/22,Bremen,SF263,Police/Protection of the Constitution,61,40,101
WT 2021/22,Bremen,SF132,Psychology,33,97,130
WT 2021/22,Bremen,SF135,Law,69,168,237
WT 2021/22,Bremen,SF136,Religious Studies,1,10,11
WT 2021/22,Bremen,SF142,Naval Architecture/Ship Technology,35,7,42
WT 2021/22,Bremen,SF190,Special Needs Education,5,31,36
WT 2021/22,Bremen,SF290,Other subjects,2,2,4
WT 2021/22,Bremen,SF208,Social Work,29,101,130
WT 2021/22,Bremen,SF253,Applied Social Science,19,87,106
WT 2021/22,Bremen,SF149,Sociology,23,73,96
WT 2021/22,Bremen,SF150,Spanish,1,6,7
WT 2021/22,Bremen,SF118,Technomathematics,5,2,7
WT 2021/22,Bremen,SF274,Tourism Management,17,48,65
WT 2021/22,Bremen,SF457,Environmental Technology (including Recycling),17,10,27
WT 2021/22,Bremen,SF226,Process Engineering,32,13,45
WT 2021/22,Bremen,SF089,Transport Engineering,23,8,31
WT 2021/22,Bremen,SF172,Administrative Science/Public Administration,12,46,58
WT 2021/22,Bremen,SF277,Business Informatics,50,12,62
WT 2021/22,Bremen,SF370,Business Engineering spec. in Engineering Sciences,74,30,104
WT 2021/22,Bremen,SF179,Business Engineering specialising in Economics,20,10,30
WT 2021/22,Bremen,SF042,Business Law,20,12,32
WT 2021/22,Bremen,SF184,Business and Economics,28,34,62
WT 2021/22,Hamburg,SF002,African Studies,6,10,16
WT 2021/22,Hamburg,SF152,General Linguistics/Indo-European Studies,2,17,19
WT 2021/22,Hamburg,SF188,General Literary Studies,2,12,14
WT 2021/22,Hamburg,SF006,American Studies,1,4,5
WT 2021/22,Hamburg,SF007,Applied Art,1,28,29
WT 2021/22,Hamburg,SF284,Applied Linguistics,2,11,13
WT 2021/22,Hamburg,SF140,Applied Systems Science,27,11,38
WT 2021/22,Hamburg,SF008,English Studies,13,55,68
WT 2021/22,Hamburg,SF012,Archaeology,7,11,18
WT 2021/22,Hamburg,SF013,Architecture,45,89,134
WT 2021/22,Hamburg,SF037,Archive and Documentation Science,13,42,55
WT 2021/22,Hamburg,SF187,Asian Languages and Cultures/Asian Studies,10,7,17
WT 2021/22,Hamburg,SF015,Non-Europ. Lang. and Cult. in Oceania and America,2,8,10
WT 2021/22,Hamburg,SF017,Civil Engineering/Structural Engineering,188,89,277
WT 2021/22,Hamburg,SF021,Business Administration,821,766,1587
WT 2021/22,Hamburg,SF023,Fine Arts/Graphics,42,66,108
WT 2021/22,Hamburg,SF025,Biochemistry,8,39,47
WT 2021/22,Hamburg,SF221,Bioinformatics,1,1,2
WT 2021/22,Hamburg,SF026,Biology,58,126,184
WT 2021/22,Hamburg,SF282,Biotechnology,60,50,110
WT 2021/22,Hamburg,SF032,Chemistry,53,32,85
WT 2021/22,Hamburg,SF200,Computer and Communication Technology,2,1,3
WT 2021/22,Hamburg,SF035,Performing Arts/Stagecraft/Directing,5,2,7
WT 2021/22,Hamburg,SF048,Electrical Engineering/Electronics,163,26,189
WT 2021/22,Hamburg,SF320,Nutritional Science,10,25,35
WT 2021/22,Hamburg,SF052,Educational Science (Pedagogy),224,536,760
WT 2021/22,Hamburg,SF173,Ethnology,8,23,31
WT 2021/22,Hamburg,SF053,"Protestant Theology, Protes. Religious Education",5,9,14
WT 2021/22,Hamburg,SF464,Facility Management,22,15,37
WT 2021/22,Hamburg,SF235,Automotive Technology,54,5,59
WT 2021/22,Hamburg,SF202,Manufacturing Technology/Production Engineering,42,10,52
WT 2021/22,Hamburg,SF266,Financial Administration,36,43,79
WT 2021/22,Hamburg,SF056,Finno-Ugrian Studies,1,5,6
WT 2021/22,Hamburg,SF059,French,2,8,10
WT 2021/22,Hamburg,SF050,Geography,30,29,59
WT 2021/22,Hamburg,SF066,Geophysics,36,28,64
WT 2021/22,Hamburg,SF039,Geosciences general,17,25,42
WT 2021/22,Hamburg,SF067,German Studies/German,16,95,111
WT 2021/22,Hamburg,SF230,Singing,4,9,13
WT 2021/22,Hamburg,SF068,History,75,46,121
WT 2021/22,Hamburg,SF195,Health Education,4,20,24
WT 2021/22,Hamburg,SF215,Health Technology,20,30,50
WT 2021/22,Hamburg,SF232,Health Science/Health Management,37,139,176
WT 2021/22,Hamburg,SF069,Graphic Design/Communication Design,49,95,144
WT 2021/22,Hamburg,SF071,Domestic and Nutritional Sciences,9,37,46
WT 2021/22,Hamburg,SF075,Wood Science,4,2,6
WT 2021/22,Hamburg,SF078,Indology,1,5,6
WT 2021/22,Hamburg,SF203,Industrial Design/Product Design,3,4,7
WT 2021/22,Hamburg,SF079,Computer Science,207,74,281
WT 2021/22,Hamburg,SF022,Inf./Library Scien. (not at univ. of app.adm.sci.),9,22,31
WT 2021/22,Hamburg,SF123,Computational Engineer./Technical Computer Science,149,17,166
WT 2021/22,Hamburg,SF080,Instrumental Music,31,30,61
WT 2021/22,Hamburg,SF072,Interdisc. Studies (specialising in Engineering),181,64,245
WT 2021/22,Hamburg,SF049,Interdisc. Studies (special. in Natural Sciences),42,46,88
WT 2021/22,Hamburg,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",180,193,373
WT 2021/22,Hamburg,SF004,Interdisc. Studies (spec. in Humanities),19,29,48
WT 2021/22,Hamburg,SF040,"Interdisc. Studies (special. in Art, Art Theory)",3,14,17
WT 2021/22,Hamburg,SF182,International Business Studies/Management,146,147,293
WT 2021/22,Hamburg,SF081,Iranian Studies,1,3,4
WT 2021/22,Hamburg,SF083,Islamic Studies,3,13,16
WT 2021/22,Hamburg,SF084,Italian,7,6,13
WT 2021/22,Hamburg,SF085,Japanese Studies,13,20,33
WT 2021/22,Hamburg,SF164,Jazz and Popular Music,7,3,10
WT 2021/22,Hamburg,SF005,Classical Philology,3,1,4
WT 2021/22,Hamburg,SF222,"Communication Technology, Information Engineering",70,28,98
WT 2021/22,Hamburg,SF303,Communication Science/Journalism,23,64,87
WT 2021/22,Hamburg,SF191,Composition,5,1,6
WT 2021/22,Hamburg,SF091,Arts Education,2,23,25
WT 2021/22,Hamburg,SF092,"Art History, Art Theory",6,30,36
WT 2021/22,Hamburg,SF096,Food Chemistry,10,23,33
WT 2021/22,Hamburg,SF057,Aeronautical and Aerospace Engineering,36,7,43
WT 2021/22,Hamburg,SF104,Mechanical Engineering,341,37,378
WT 2021/22,Hamburg,SF105,Mathematics,31,21,52
WT 2021/22,Hamburg,SF380,Mechatronics,98,11,109
WT 2021/22,Hamburg,SF305,Media Technology,33,11,44
WT 2021/22,Hamburg,SF304,Media Economics/Media Management,56,74,130
WT 2021/22,Hamburg,SF302,Media Science,6,20,26
WT 2021/22,Hamburg,SF107,Medicine (General Medicine),163,284,447
WT 2021/22,Hamburg,SF110,Meteorology,25,28,53
WT 2021/22,Hamburg,SF157,Microelectronics,30,18,48
WT 2021/22,Hamburg,SF113,Music Education,3,9,12
WT 2021/22,Hamburg,SF114,Musicology/History of Music,27,27,54
WT 2021/22,Hamburg,SF233,Non-medical Healthcare Professions/Therapies,15,117,132
WT 2021/22,Hamburg,SF044,Eastern and South Eastern Europe Studies,1,3,4
WT 2021/22,Hamburg,SF365,Early Childhood Education,1,5,6
WT 2021/22,Hamburg,SF234,Nursing Science/Nursing Management,78,178,256
WT 2021/22,Hamburg,SF126,Pharmacy,11,42,53
WT 2021/22,Hamburg,SF127,Philosophy,26,32,58
WT 2021/22,Hamburg,SF128,Physics,174,66,240
WT 2021/22,Hamburg,SF129,Political Science,85,63,148
WT 2021/22,Hamburg,SF263,Police/Protection of the Constitution,65,51,116
WT 2021/22,Hamburg,SF131,Portuguese,2,1,3
WT 2021/22,Hamburg,SF132,Psychology,236,781,1017
WT 2021/22,Hamburg,SF134,Spatial Planning,32,39,71
WT 2021/22,Hamburg,SF135,Law,188,337,525
